Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,dc1-el1,Ethernet1,100.64.1.61/31,spine,dc1-sp1,Ethernet11,100.64.1.60/31
l3leaf,dc1-el1,Ethernet2,100.64.1.63/31,spine,dc1-sp2,Ethernet11,100.64.1.62/31
l3leaf,dc1-el1,Ethernet3,100.64.1.65/31,spine,dc1-sp3,Ethernet11,100.64.1.64/31
l3leaf,dc1-el2,Ethernet1,100.64.1.67/31,spine,dc1-sp1,Ethernet12,100.64.1.66/31
l3leaf,dc1-el2,Ethernet2,100.64.1.69/31,spine,dc1-sp2,Ethernet12,100.64.1.68/31
l3leaf,dc1-el2,Ethernet3,100.64.1.71/31,spine,dc1-sp3,Ethernet12,100.64.1.70/31
l3leaf,dc1-el3,Ethernet1,100.64.1.73/31,spine,dc1-sp1,Ethernet13,100.64.1.72/31
l3leaf,dc1-el3,Ethernet2,100.64.1.75/31,spine,dc1-sp2,Ethernet13,100.64.1.74/31
l3leaf,dc1-el3,Ethernet3,100.64.1.77/31,spine,dc1-sp3,Ethernet13,100.64.1.76/31
l3leaf,dc1-l1a,Ethernet1,100.64.1.1/31,spine,dc1-sp1,Ethernet1,100.64.1.0/31
l3leaf,dc1-l1a,Ethernet2,100.64.1.3/31,spine,dc1-sp2,Ethernet1,100.64.1.2/31
l3leaf,dc1-l1a,Ethernet3,100.64.1.5/31,spine,dc1-sp3,Ethernet1,100.64.1.4/31
l3leaf,dc1-l1b,Ethernet1,100.64.1.7/31,spine,dc1-sp1,Ethernet2,100.64.1.6/31
l3leaf,dc1-l1b,Ethernet2,100.64.1.9/31,spine,dc1-sp2,Ethernet2,100.64.1.8/31
l3leaf,dc1-l1b,Ethernet3,100.64.1.11/31,spine,dc1-sp3,Ethernet2,100.64.1.10/31
l3leaf,dc1-l2a,Ethernet1,100.64.1.13/31,spine,dc1-sp1,Ethernet3,100.64.1.12/31
l3leaf,dc1-l2a,Ethernet2,100.64.1.15/31,spine,dc1-sp2,Ethernet3,100.64.1.14/31
l3leaf,dc1-l2a,Ethernet3,100.64.1.17/31,spine,dc1-sp3,Ethernet3,100.64.1.16/31
l3leaf,dc1-l2b,Ethernet1,100.64.1.19/31,spine,dc1-sp1,Ethernet4,100.64.1.18/31
l3leaf,dc1-l2b,Ethernet2,100.64.1.21/31,spine,dc1-sp2,Ethernet4,100.64.1.20/31
l3leaf,dc1-l2b,Ethernet3,100.64.1.23/31,spine,dc1-sp3,Ethernet4,100.64.1.22/31
l3leaf,dc1-l3a,Ethernet1,100.64.1.25/31,spine,dc1-sp1,Ethernet5,100.64.1.24/31
l3leaf,dc1-l3a,Ethernet2,100.64.1.27/31,spine,dc1-sp2,Ethernet5,100.64.1.26/31
l3leaf,dc1-l3a,Ethernet3,100.64.1.29/31,spine,dc1-sp3,Ethernet5,100.64.1.28/31
l3leaf,dc1-l3b,Ethernet1,100.64.1.31/31,spine,dc1-sp1,Ethernet6,100.64.1.30/31
l3leaf,dc1-l3b,Ethernet2,100.64.1.33/31,spine,dc1-sp2,Ethernet6,100.64.1.32/31
l3leaf,dc1-l3b,Ethernet3,100.64.1.35/31,spine,dc1-sp3,Ethernet6,100.64.1.34/31
l3leaf,dc1-l4a,Ethernet1,100.64.1.37/31,spine,dc1-sp1,Ethernet7,100.64.1.36/31
l3leaf,dc1-l4a,Ethernet2,100.64.1.39/31,spine,dc1-sp2,Ethernet7,100.64.1.38/31
l3leaf,dc1-l4a,Ethernet3,100.64.1.41/31,spine,dc1-sp3,Ethernet7,100.64.1.40/31
l3leaf,dc1-l4b,Ethernet1,100.64.1.43/31,spine,dc1-sp1,Ethernet8,100.64.1.42/31
l3leaf,dc1-l4b,Ethernet2,100.64.1.45/31,spine,dc1-sp2,Ethernet8,100.64.1.44/31
l3leaf,dc1-l4b,Ethernet3,100.64.1.47/31,spine,dc1-sp3,Ethernet8,100.64.1.46/31
l3leaf,dc1-l5a,Ethernet1,100.64.1.49/31,spine,dc1-sp1,Ethernet9,100.64.1.48/31
l3leaf,dc1-l5a,Ethernet2,100.64.1.51/31,spine,dc1-sp2,Ethernet9,100.64.1.50/31
l3leaf,dc1-l5a,Ethernet3,100.64.1.53/31,spine,dc1-sp3,Ethernet9,100.64.1.52/31
l3leaf,dc1-l5b,Ethernet1,100.64.1.55/31,spine,dc1-sp1,Ethernet10,100.64.1.54/31
l3leaf,dc1-l5b,Ethernet2,100.64.1.57/31,spine,dc1-sp2,Ethernet10,100.64.1.56/31
l3leaf,dc1-l5b,Ethernet3,100.64.1.59/31,spine,dc1-sp3,Ethernet10,100.64.1.58/31
l3leaf,dc2-el1,Ethernet1,100.66.1.61/31,spine,dc2-sp1,Ethernet11,100.66.1.60/31
