Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
pe,branch1-pe1,Ethernet1,100.65.1.39/31,p,s1-p4,Ethernet4,100.65.1.38/31
pe,branch2-pe1,Ethernet1,100.65.1.33/31,p,s1-p3,Ethernet4,100.65.1.32/31
pe,branch3-pe1,Ethernet1,100.65.1.69/31,p,s2-p3,Ethernet4,100.65.1.68/31
pe,branch3-pe1,Ethernet2,100.65.1.76/31,pe,branch3-pe2,Ethernet2,100.65.1.77/31
pe,branch3-pe2,Ethernet1,100.65.1.75/31,p,s2-p4,Ethernet4,100.65.1.74/31
pe,s1-edge-pe1,Ethernet1,100.65.1.27/31,p,s1-p3,Ethernet1,100.65.1.26/31
pe,s1-edge-pe1,Ethernet2,100.65.1.35/31,p,s1-p4,Ethernet1,100.65.1.34/31
pe,s1-edge-pe2,Ethernet1,100.65.1.29/31,p,s1-p3,Ethernet2,100.65.1.28/31
pe,s1-edge-pe2,Ethernet2,100.65.1.37/31,p,s1-p4,Ethernet2,100.65.1.36/31
p,s1-p1,Ethernet4,100.65.1.6/31,rr,s1-p2,Ethernet4,100.65.1.7/31
p,s1-p1,Ethernet5,100.65.1.8/31,p,s1-p3,Ethernet5,100.65.1.9/31
p,s1-p1,Ethernet6,100.65.1.10/31,p,s1-p4,Ethernet6,100.65.1.11/31
rr,s1-p2,Ethernet5,100.65.1.20/31,p,s1-p3,Ethernet6,100.65.1.21/31
rr,s1-p2,Ethernet6,100.65.1.22/31,p,s1-p4,Ethernet5,100.65.1.23/31
p,s1-p3,Ethernet3,100.65.1.30/31,p,s1-p4,Ethernet3,100.65.1.31/31
pe,s2-edge-pe1,Ethernet1,100.65.1.63/31,p,s2-p3,Ethernet1,100.65.1.62/31
pe,s2-edge-pe1,Ethernet2,100.65.1.71/31,p,s2-p4,Ethernet1,100.65.1.70/31
pe,s2-edge-pe2,Ethernet1,100.65.1.65/31,p,s2-p3,Ethernet2,100.65.1.64/31
pe,s2-edge-pe2,Ethernet2,100.65.1.73/31,p,s2-p4,Ethernet2,100.65.1.72/31
p,s2-p1,Ethernet4,100.65.1.46/31,rr,s2-p2,Ethernet4,100.65.1.47/31
p,s2-p1,Ethernet5,100.65.1.48/31,p,s2-p3,Ethernet5,100.65.1.49/31
p,s2-p1,Ethernet6,100.65.1.50/31,p,s2-p4,Ethernet6,100.65.1.51/31
rr,s2-p2,Ethernet5,100.65.1.58/31,p,s2-p3,Ethernet6,100.65.1.59/31
rr,s2-p2,Ethernet6,100.65.1.60/31,p,s2-p4,Ethernet5,100.65.1.61/31
p,s2-p3,Ethernet3,100.65.1.66/31,p,s2-p4,Ethernet3,100.65.1.67/31
